Code;Libellé;Emplois, total 2021;Population résidante 2022;Densité d'habitants 2021
01439;Vésines;6;97;25.3
01441;Vieu-d'Izenave;252;727;31
01443;Villars-les-Dombes;1698;5059;201
01444;Villebois;185;1200;82.8
01445;Villemotier;49;607;44.5
01446;Villeneuve;177;1603;58.6
01447;Villereversure;366;1391;77.5
01448;Villes;45;390;43.4
01449;Villette-sur-Ain;110;763;39.3
01450;Villieu-Loyes-Mollon;768;3831;238.4
01451;Viriat;4916;6955;151.2
01452;Virieu-le-Grand;276;1110;89.1
01453;Arvière-en-Valromey;282;715;17.4
01454;Virignin;247;1122;143
01456;Vongnes;25;71;34.6
01457;Vonnas;1372;3233;180.6
5401;Aigle;6121;10776;633.7
5402;Bex;2620;8080;81.2
5403;Chessel;132;498;125.8
5404;Corbeyrier;110;439;20.2
5405;Gryon;432;1374;90.4
5406;Lavey-Morcles;367;964;66.7
5407;Leysin;1373;3618;195.4
5408;Noville;727;1172;113.3
5409;Ollon;2707;7894;128.1
5410;Ormont-Dessous;422;1159;18.4
5411;Ormont-Dessus;723;1452;23.8
5412;Rennaz;2775;883;411.1
5413;Roche (VD);569;1873;289.9
5414;Villeneuve (VD);2940;5909;182.1
5415;Yvorne;573;1034;87.8
5422;Aubonne;3783;3778;261.6
5423;Ballens;312;567;66.8
5424;Berolle;58;308;32.5
5425;Bière;516;1631;64.8
5426;Bougy-Villars;113;497;267
5427;Féchy;238;890;325
5428;Gimel;628;2399;122.3
5429;Longirod;83;520;52.2
5430;Marchissy;84;487;40.5
5431;Mollens (VD);73;320;29.9
5434;Saint-George;215;1073;87.1
5435;Saint-Livres;115;681;84.2
5436;Saint-Oyens;58;458;151.3
5437;Saubraz;46;444;114.6
5451;Avenches;2567;4617;230.4
5456;Cudrefin;366;1841;114.2
5458;Faoug;185;865;251.9
5464;Vully-les-Lacs;624;3450;160.2
5471;Bettens;73;626;169.4
5472;Bournens;56;505;126.2
5473;Boussens;163;1001;314.2
5474;La Chaux (Cossonay);72;398;57.8
5475;Chavannes-le-Veyron;43;155;57.1
5476;Chevilly;30;322;83
5477;Cossonay;1570;4322;512.5
5479;Cuarnens;138;531;74.8
5480;Daillens;894;1051;191.4
5481;Dizy;66;224;72.6
5482;Eclépens;1525;1197;208.9
5483;Ferreyres;57;319;99.7
5484;Gollion;290;1016;181.9
5485;Grancy;99;444;72.2
5486;L'Isle;304;1079;65.4
5487;Lussery-Villars;59;475;122.1
5488;Mauraz;14;60;125.5
5489;Mex (VD);1652;793;272.4
5490;Moiry;69;301;46.6
5491;Mont-la-Ville;80;509;24.7
5492;Montricher;284;981;37.1
5493;Orny;112;480;83.8
5495;Penthalaz;1190;3200;833
5496;Penthaz;625;1884;481.8
5497;Pompaples;507;847;190.3
5498;La Sarraz;623;2618;336.1
5499;Senarclens;117;490;124.9
5501;Sullens;186;1143;267.2
5503;Vufflens-la-Ville;500;1346;250.2
5511;Assens;1341;1669;198.7
5512;Bercher;458;1321;311.8
5514;Bottens;248;1356;192.3
5515;Bretigny-sur-Morrens;361;882;302.5
5516;Cugy (VD);1158;2728;949.1
5518;Echallens;2535;5731;861.5
5520;Essertines-sur-Yverdon;197;1059;106.6
5521;Etagnières;612;1153;303.2
5522;Fey;192;754;100.9
5523;Froideville;244;2671;382.8
5527;Morrens (VD);135;1156;311.1
5529;Oulens-sous-Echallens;139;619;104.9
5530;Pailly;178;574;98.6
5531;Penthéréaz;150;416;73.4
5533;Poliez-Pittet;426;832;166.3
5534;Rueyres;90;303;133.7
5535;Saint-Barthélemy (VD);311;810;189.1
5537;Villars-le-Terroir;205;1314;179.3
5539;Vuarrens;130;1097;118.3
5540;Montilliez;270;1884;156.9
5541;Goumoëns;352;1166;108.1
5551;Bonvillars;129;481;65.4
5552;Bullet;215;657;39
5553;Champagne;480;1085;271.6
5554;Concise;203;1004;88
5555;Corcelles-près-Concise;125;416;103
5556;Fiez;61;442;66.1
5557;Fontaines-sur-Grandson;17;220;27.6
5559;Giez;92;444;86.8
5560;Grandevent;31;237;65.3
5561;Grandson;1535;3369;427.2
